customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,total_services,contract_risk,payment_risk,avg_monthly_revenue,has_family
9763-GRSKD,0,0,1,1,13,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45,0,1-2yr,2,1.0,0.7,41.96071428571429,1
7469-LKBCI,0,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0,1-2yr,1,0.2,0.3,19.223529411764705,0
8091-TTVAX,0,0,1,0,58,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,5681.1,0,4yr+,5,0.5,0.3,96.28983050847458,1
0280-XJGEX,0,0,0,0,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,4yr+,6,1.0,0.3,100.726,0
5129-JLPIS,0,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,2686.05,0,2-4yr,6,1.0,1.0,103.3096153846154,0
3655-SNQYZ,0,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,4yr+,8,0.2,0.3,112.78785714285713,1
8191-XWSZG,0,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0,4yr+,1,0.5,0.7,19.300943396226415,0
9959-WOFKT,0,0,0,1,71,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,7382.25,0,4yr+,6,0.2,0.3,102.53125,1
4190-MFLUW,0,0,1,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,0-1yr,3,1.0,0.3,48.03181818181818,1
4183-MYFRB,0,0,0,0,21,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,1862.9,0,1-2yr,4,1.0,1.0,84.67727272727274,0
8779-QRDMV,0,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,0-1yr,2,1.0,1.0,19.825,0
1680-VDCWW,0,0,1,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0,0-1yr,1,0.5,0.3,15.557692307692308,1
1066-JKSGK,0,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,0-1yr,1,1.0,0.7,10.075,0
3638-WEABW,0,0,1,0,58,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0,4yr+,4,0.2,0.3,59.40847457627118,1
6322-HRPFA,0,0,1,1,49,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,4yr+,4,1.0,0.3,59.406000000000006,1
6865-JZNKO,0,0,0,0,30,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,2-4yr,3,1.0,0.3,49.37419354838709,0
6467-CHFZW,0,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,2-4yr,5,1.0,1.0,98.940625,1
8665-UTDHZ,0,0,1,1,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,0-1yr,1,1.0,1.0,15.1,1
5248-YGIJN,0,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,0,4yr+,8,0.2,0.3,87.2527397260274,1
8773-HHUOZ,0,0,0,1,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,1-2yr,3,1.0,0.7,60.727777777777774,1
3841-NFECX,0,1,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,6766.95,0,4yr+,6,0.2,0.3,93.98541666666667,1
4929-XIHVW,0,1,1,0,2,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0,0-1yr,4,1.0,0.3,60.550000000000004,1
6827-IEAUQ,0,0,1,1,27,1,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45,0,2-4yr,5,0.5,0.7,66.94464285714285,1
7310-EGVHZ,0,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,0-1yr,1,1.0,0.3,10.1,0
3413-BMNZE,0,1,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,0-1yr,1,1.0,0.3,22.625,0
6234-RAAPL,0,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),99.9,7251.7,0,4yr+,6,0.2,0.3,99.33835616438355,1
6047-YHPVI,0,0,0,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1,0-1yr,1,1.0,1.0,52.81666666666666,0
6572-ADKRS,0,0,0,0,46,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,2-4yr,2,1.0,0.3,75.49574468085106,0
5380-WJKOV,0,0,0,0,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1,2-4yr,6,1.0,1.0,101.40714285714286,0
8168-UQWWF,0,0,0,0,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,0-1yr,5,1.0,0.3,92.11666666666667,0
8865-TNMNX,0,0,1,1,10,1,No,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,49.55,475.7,0,0-1yr,2,0.5,0.7,43.24545454545454,1
9489-DEDVP,0,0,1,1,70,1,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,1,Credit card (automatic),69.2,4872.35,0,4yr+,5,0.2,0.3,68.62464788732395,1
9867-JCZSP,0,0,1,1,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,418.25,0,1-2yr,1,0.5,0.7,23.23611111111111,1
4671-VJLCL,0,0,0,0,63,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),79.85,4861.45,0,4yr+,7,0.2,0.3,75.96015625,0
4080-IIARD,0,0,1,0,13,1,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,981.45,0,1-2yr,6,1.0,1.0,70.10357142857143,1
3714-NTNFO,0,0,0,0,49,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,3906.7,0,4yr+,3,1.0,1.0,78.134,0
5948-UJZLF,0,0,0,0,2,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,97.0,0,0-1yr,2,1.0,0.7,32.333333333333336,0
7760-OYPDY,0,0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1,0-1yr,2,1.0,1.0,48.050000000000004,0
7639-LIAYI,0,0,0,0,52,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,4217.8,0,4yr+,6,0.2,0.3,79.5811320754717,0
2954-PIBKO,0,0,1,1,69,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1,0,4yr+,5,0.2,0.3,60.77285714285715,1
8012-SOUDQ,0,1,0,0,43,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,3838.75,0,2-4yr,4,1.0,1.0,87.24431818181819,0
9420-LOJKX,0,0,0,0,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,1-2yr,5,1.0,0.3,89.15,0
6575-SUVOI,0,1,1,0,25,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,2-4yr,5,1.0,0.3,67.40961538461539,1
7495-OOKFY,0,1,1,0,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1,0-1yr,3,1.0,0.3,70.36666666666666,1
4667-QONEA,0,1,1,1,60,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),74.85,4456.35,0,4yr+,6,0.5,0.3,73.05491803278689,1
1658-BYGOY,0,1,0,0,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1,1-2yr,4,1.0,1.0,92.23947368421052,0
8769-KKTPH,0,0,1,1,63,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,6311.2,0,4yr+,5,0.5,0.3,98.6125,1
5067-XJQFU,0,1,1,1,66,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,7076.35,0,4yr+,7,0.5,1.0,105.61716417910448,1
3957-SQXML,0,0,1,1,34,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,894.3,0,2-4yr,2,0.2,0.3,25.55142857142857,1
5954-BDFSG,0,0,0,0,72,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),107.5,7853.7,0,4yr+,6,0.2,0.3,107.58493150684932,0
0434-CSFON,0,0,1,0,47,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,4707.1,0,2-4yr,5,1.0,1.0,98.06458333333335,1
1215-FIGMP,0,0,0,0,60,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,4yr+,4,1.0,0.3,89.35573770491803,0
0526-SXDJP,0,0,1,0,72,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),42.1,2962.0,0,4yr+,3,0.2,0.3,40.57534246575342,1
0557-ASKVU,0,0,1,1,18,1,No,DSL,No,No,Yes,Yes,No,No,One year,1,Credit card (automatic),54.4,957.1,0,1-2yr,3,0.5,0.3,50.373684210526314,1
5698-BQJOH,0,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,1,0-1yr,4,1.0,1.0,85.725,0
5122-CYFXA,0,0,0,0,3,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,75.3,244.1,0,0-1yr,5,1.0,1.0,61.025,0
8627-ZYGSZ,0,0,1,0,47,1,Yes,Fiber optic,No,Yes,No,No,No,No,One year,1,Electronic check,78.9,3650.35,0,2-4yr,3,0.5,1.0,76.04895833333333,1
3410-YOQBQ,0,0,0,0,31,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,79.2,2497.2,0,2-4yr,6,0.2,0.7,78.0375,0
3170-NMYVV,0,0,1,1,50,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,930.9,0,4yr+,1,0.2,0.3,18.25294117647059,1
7410-OIEDU,0,0,0,0,10,1,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,79.85,887.35,0,0-1yr,3,1.0,0.7,80.66818181818182,0
2273-QCKXA,0,0,0,0,1,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,49.05,0,0-1yr,2,1.0,0.7,24.525,0
0731-EBJQB,0,0,1,1,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,1090.65,0,4yr+,1,0.5,1.0,20.578301886792456,1
1891-QRQSA,0,1,1,1,64,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,7099.0,0,4yr+,7,0.2,0.3,109.21538461538462,1
8028-PNXHQ,0,0,1,1,62,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,1424.6,0,4yr+,2,0.2,0.3,22.61269841269841,1
5630-AHZIL,0,0,0,1,3,1,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,0-1yr,4,1.0,0.3,44.35,1
2673-CXQEU,0,1,0,0,56,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,110.5,6139.5,0,4yr+,7,0.5,1.0,107.71052631578948,0
6416-JNVRK,0,0,0,0,46,1,No,DSL,No,No,No,No,No,Yes,One year,0,Credit card (automatic),55.65,2688.85,0,2-4yr,2,0.5,0.3,57.2095744680851,0
5590-ZSKRV,0,0,1,1,8,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.65,482.25,0,0-1yr,3,1.0,0.7,53.583333333333336,1
0191-ZHSKZ,0,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,0,2-4yr,5,1.0,1.0,68.10645161290323,0
3887-PBQAO,0,0,1,1,45,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.9,1216.6,0,2-4yr,2,0.5,0.3,26.44782608695652,1
5919-TMRGD,0,0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,1,0-1yr,2,1.0,1.0,39.675,1
8108-UXRQN,0,0,1,1,11,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,50.55,565.35,0,0-1yr,3,1.0,1.0,47.112500000000004,1
9191-MYQKX,0,0,1,0,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,0-1yr,2,1.0,0.3,62.1125,1
9919-YLNNG,0,0,0,0,42,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,2-4yr,6,1.0,0.3,100.63953488372093,0
0318-ZOPWS,0,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,973.35,0,4yr+,1,0.2,0.3,19.467,1
4445-ZJNMU,0,0,0,0,9,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.3,918.75,0,0-1yr,5,1.0,0.3,91.875,0
4808-YNLEU,0,0,1,0,35,1,No,DSL,Yes,No,No,No,Yes,No,One year,1,Bank transfer (automatic),62.15,2215.45,0,2-4yr,3,0.5,0.3,61.540277777777774,1
1862-QRWPE,0,0,1,1,48,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,1057.0,0,2-4yr,1,0.2,0.3,21.571428571428573,1
2796-NNUFI,0,0,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,927.1,0,2-4yr,1,0.2,0.7,19.72553191489362,1
3016-KSVCP,0,0,1,0,29,0,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,33.75,1009.25,0,2-4yr,1,1.0,0.7,33.641666666666666,1
4767-HZZHQ,0,0,1,1,30,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,2-4yr,3,1.0,0.3,82.90967741935484,1
2424-WVHPL,0,1,0,0,1,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,74.7,74.7,0,0-1yr,2,1.0,1.0,37.35,0
7233-PAHHL,0,0,1,1,66,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Mailed check,84.0,5714.25,0,4yr+,7,0.2,0.7,85.28731343283582,1
6067-NGCEU,0,0,0,0,65,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,4yr+,7,1.0,0.3,107.68181818181819,0
9848-JQJTX,0,0,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),100.9,7459.05,0,4yr+,6,0.2,0.3,102.17876712328767,0
8637-XJIVR,0,0,0,0,12,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,927.35,1,0-1yr,3,1.0,1.0,71.33461538461539,0
9803-FTJCG,0,0,1,1,71,1,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,1,Credit card (automatic),66.85,4748.7,0,4yr+,5,0.5,0.3,65.95416666666667,1
0278-YXOOG,0,0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,1,0-1yr,1,1.0,0.7,18.974999999999998,0
3212-KXOCR,0,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),21.0,1107.2,0,4yr+,1,0.2,0.3,20.89056603773585,0
4598-XLKNJ,0,1,1,0,25,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,2514.5,1,2-4yr,5,1.0,1.0,96.71153846153847,1
6380-ARCEH,0,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,20.2,0,0-1yr,1,1.0,0.7,10.1,0
3679-XASPY,0,0,1,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.45,19.45,0,0-1yr,1,1.0,1.0,9.725,1
7123-WQUHX,0,0,0,0,38,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,0,Bank transfer (automatic),95.0,3605.6,0,2-4yr,5,0.5,0.3,92.45128205128205,0
5386-THSLQ,0,1,1,0,66,0,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),45.55,3027.25,0,4yr+,3,0.5,0.3,45.18283582089552,1
3192-NQECA,0,0,1,0,68,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,7611.85,1,4yr+,7,0.2,0.3,110.31666666666668,1
6180-YBIQI,0,0,0,0,5,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,24.3,100.2,0,0-1yr,0,1.0,0.7,16.7,0
6728-DKUCO,0,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,104.15,7303.05,0,4yr+,6,0.5,1.0,100.04178082191781,1
9750-BOOHV,0,0,0,0,32,0,No phone service,DSL,Yes,No,No,No,No,No,One year,0,Mailed check,30.15,927.65,0,2-4yr,1,0.5,0.7,28.11060606060606,0
8597-CWYHH,0,0,0,0,43,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Mailed check,94.35,3921.3,0,2-4yr,4,0.5,0.7,89.12045454545455,0
2848-YXSMW,0,0,1,1,72,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,1363.25,0,4yr+,1,0.2,0.3,18.674657534246574,1
0486-HECZI,0,0,1,0,55,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.75,5238.9,1,4yr+,5,1.0,1.0,93.55178571428571,1
4549-ZDQYY,0,0,0,0,52,1,No,DSL,Yes,No,Yes,Yes,No,No,One year,0,Credit card (automatic),57.95,3042.25,0,4yr+,4,0.5,0.3,57.40094339622642,0
5712-AHQNN,0,0,0,0,43,1,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,91.65,3954.1,0,2-4yr,4,1.0,1.0,89.86590909090908,0
4846-WHAFZ,0,1,1,0,37,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.5,2868.15,1,2-4yr,2,1.0,1.0,75.47763157894737,1
5256-SKJGO,0,0,1,1,64,0,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Electronic check,54.6,3423.5,0,4yr+,4,0.2,1.0,52.66923076923077,1
3071-VBYPO,0,0,1,1,3,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,89.85,248.4,0,0-1yr,4,1.0,1.0,62.1,1
9560-BBZXK,0,0,0,0,36,0,No phone service,DSL,Yes,No,No,No,No,No,Two year,0,Bank transfer (automatic),31.05,1126.35,0,2-4yr,1,0.2,0.3,30.44189189189189,0
5299-RULOA,0,0,1,1,10,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1064.65,1,0-1yr,5,1.0,1.0,96.78636363636365,1
8402-OOOHJ,0,0,0,0,41,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.65,835.15,0,2-4yr,1,0.2,0.7,19.88452380952381,0
9445-ZUEQE,0,0,1,1,27,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),85.2,2151.6,0,2-4yr,4,1.0,0.3,76.84285714285714,1
1091-SOZGA,0,0,1,1,56,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),99.8,5515.45,0,4yr+,5,0.5,0.3,96.76228070175438,1
2928-HLDBA,0,0,0,0,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.7,112.75,0,0-1yr,1,1.0,0.7,16.107142857142858,0
0404-SWRVG,0,0,0,0,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,229.55,1,0-1yr,2,1.0,1.0,57.3875,0
6497-TILVL,0,0,1,1,7,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,50.7,350.35,0,0-1yr,2,1.0,0.7,43.79375,1
7219-TLZHO,0,0,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,62.9,0,0-1yr,1,1.0,0.7,12.58,1
4622-YNKIJ,0,0,0,0,33,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,1,Electronic check,88.95,3027.65,0,2-4yr,4,0.2,1.0,89.0485294117647,0
4412-YLTKF,0,1,0,0,27,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.05,2135.5,1,2-4yr,3,1.0,1.0,76.26785714285714,0
6734-PSBAW,0,0,1,0,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),23.55,1723.95,0,4yr+,2,0.2,0.3,23.615753424657534,1
3930-ZGWVE,0,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,19.75,0,0-1yr,1,1.0,0.7,9.875,0
2639-UGMAZ,0,1,0,0,71,0,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,56.45,3985.35,0,4yr+,4,0.5,1.0,55.35208333333333,0
2876-GZYZC,0,0,0,0,13,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.95,1215.65,0,1-2yr,3,1.0,1.0,86.83214285714287,0
6207-WIOLX,0,0,1,1,25,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,2-4yr,5,1.0,0.3,57.79423076923077,1
8587-XYZSF,0,0,0,0,67,1,No,DSL,No,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),50.55,3260.1,0,4yr+,2,0.2,0.3,47.942647058823525,0
3091-FYHKI,0,0,0,0,1,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,35.45,35.45,1,0-1yr,1,1.0,1.0,17.725,0
2372-HWUHI,0,0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.35,81.25,1,0-1yr,1,1.0,1.0,27.083333333333332,0
7799-LGRDP,0,0,0,0,43,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.7,1188.2,0,2-4yr,2,0.2,0.3,27.004545454545454,0
7850-VWJUU,0,0,0,0,23,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.0,1778.5,0,1-2yr,2,1.0,0.3,74.10416666666667,0
